timestamp,balance,equity
1754701821,1000.0,1000.0
1754701856,1000.0,1000.0
1754702927,1000.0,1000.0
1754702961,1000.0,1000.0
1754702996,1000.0,1000.0
1754703031,1000.0,1000.0
1754703066,1000.0,1000.0
1754703102,1000.0,1000.0
1754703136,1000.0,1000.0
1754703171,1000.0,1000.0
1754705329,1000.0,1000.0
1754706972,1000.0,1000.0
1754707007,1000.0,1000.0
1754707042,1000.0,1000.0
1754707075,1000.0,1000.0
1754707110,1000.0,1000.0
1754707146,1000.0,1000.0
1754855620,1000.0,1000.0
1754864876,1000.0,1000.0
1754864906,1000.0,1000.0
1754864936,1000.0,1000.0
1754864966,1000.0,1000.0
1754864996,1000.0,1000.0
1754865026,1000.0,1000.0
1754865056,1000.0,1000.0
1754865086,1000.0,1000.0
1754865116,1000.0,1000.0
1754865146,1000.0,1000.0
1754865177,1000.0,1000.0
1754865207,1000.0,1000.0
1754865237,1000.0,1000.0
1754865267,1000.0,1000.0
1754865297,1000.0,1000.0
1754865327,1000.0,1000.0
1754865357,1000.0,1000.0
1754865387,1000.0,1000.0
1754865417,1000.0,1000.0
1754865447,1000.0,1000.0
1754865467,1000.0,1000.0
1754865497,1000.0,1000.0
1754865527,1000.0,1000.0
1754865558,1000.0,1000.0
1754865588,1000.0,1000.0
1754865618,1000.0,1000.0
1754865648,1000.0,1000.0
1754865678,1000.0,1000.0
1754865708,1000.0,1000.0
1754865738,1000.0,1000.0
1754865768,1000.0,1000.0
1754865798,1000.0,1000.0
1754865828,1000.0,1000.0
1754867500,1000.0,1000.0
1754867532,1000.0,1000.0
1754867562,1000.0,1000.0
1754867592,1000.0,1000.0
1754867623,1000.0,1000.0
1754867653,1000.0,1000.0
1754867683,1000.0,1000.0
1754867713,1000.0,1000.0
1754868053,1000.0,1000.0
1754868130,1000.0,1000.0
1754868160,1000.0,1000.0
1754868190,1000.0,1000.0
1754868220,1000.0,1000.0
1754868250,1000.0,1000.0
1754868280,1000.0,1000.0
1754868310,1000.0,1000.0
1754868340,1000.0,1000.0
1754868370,1000.0,1000.0
1754868400,1000.0,1000.0
1754868430,1000.0,1000.0
1754868448,1000.0,1000.0
1754868478,1000.0,1000.0
1754868509,1000.0,1000.0
1754868539,1000.0,1000.0
1754868569,1000.0,1000.0
1754868599,1000.0,1000.0
1754868629,1000.0,1000.0
1754868659,1000.0,1000.0
1754868689,1000.0,1000.0
1754868719,1000.0,1000.0
1754868749,1000.0,1000.0
1754868779,1000.0,1000.0
1754868809,1000.0,1000.0
1754868839,1000.0,1000.0
1754868869,1000.0,1000.0
1754868899,1000.0,1000.0
1754868929,1000.0,1000.0
1754868959,1000.0,1000.0
1754868989,1000.0,1000.0
1754869020,1000.0,1000.0
1754869050,1000.0,1000.0
1754869080,1000.0,1000.0
1754869110,1000.0,1000.0
1754869140,1000.0,1000.0
1754869177,1000.0,1000.0
1754869207,1000.0,1000.0
1754869238,1000.0,1000.0
1754869268,1000.0,1000.0
1754869298,1000.0,1000.0
1754869328,1000.0,1000.0
1754869358,1000.0,1000.0
1754869388,1000.0,1000.0
1754869418,1000.0,1000.0
1754869448,1000.0,1000.0
1754869478,1000.0,1000.0
1754869508,1000.0,1000.0
1754869538,1000.0,1000.0
1754869583,1000.0,1000.0
1754869613,1000.0,1000.0
1754869643,1000.0,1000.0
1754869673,1000.0,1000.0
1754869703,1000.0,1000.0
1754869733,1000.0,1000.0
1754869763,1000.0,1000.0
1754869793,1000.0,1000.0
1754869824,1000.0,1000.0
1754869854,1000.0,1000.0
1754869884,1000.0,1000.0
1754869932,1000.0,1000.0
1754869962,1000.0,1000.0
1754869992,1000.0,1000.0
1754870022,1000.0,1000.0
1754870052,1000.0,1000.0
1754870082,1000.0,1000.0
